bidding,SC_obj,ESS,GEN,WIND_STR,SW,Avg_MP,ϵ1,ϵ2,confirmedNE,solver,prod_surp
MCP,NA,177.57894736842317,325.0000000000059,213.8500000000012,14271.07894736842,28.125000000000142,0,0,false,Gurobi,716.4289473684303
PC-MPPDC,empty,373.42083504836773,508.5384962761736,333.9555334243572,14033.178950722786,43.75062331385915,10,0,true,KNITRO_ALG:1,1215.9148647488987
SCR-NCP,competitive,217.33716072857933,609.0355360829069,278.40425307631307,14252.84518446695,37.06677737394555,10,10,true,KNITRO_ALG:1,1104.7769498877992
SCR-NCP,competitive,218.4165656270786,506.55294260531605,251.87013624486463,14252.742420924853,33.12302746663116,1.5,1.5,false,KNITRO_ALG:1,976.8396444772593
SCR-NCP,competitive,185.71151995973102,705.6299652952855,290.18839063923303,14201.535195139853,38.123611971210345,1,1,false,KNITRO_ALG:1,1181.5298758942495
SCR-NCP,collusive,122.45212384539026,825.6283901678278,274.77500979414253,14062.685326980883,41.25015752125934,10,10,false,KNITRO_ALG:1,1222.8555238073604
SCR-NCP,collusive,237.07894722902034,608.9285346469296,265.7334193376589,14231.330315531186,35.62512407482435,1.5,1.5,true,KNITRO_ALG:1,1111.7409012136088
INF:SCR-NCP,collusive,0,0,0,0,0,1,1,false,KNITRO_ALG:1,0
SCR-NCP,ESS_fav,327.92721062005046,510.25546872500877,182.1788008423546,14159.878605644924,35.62391014879983,1,1,false,KNITRO_ALG:1,1020.3614801874138
SCR-NCP,ESS_fav,426.80726946990546,578.133573364634,206.1509086295299,14051.219487056675,41.24442825875266,1.5,1.5,false,KNITRO_ALG:1,1211.0917514640694
SCR-NCP,ESS_fav,435.3962923339494,476.43448277604483,230.12773986073768,14031.477713467017,38.74833654636682,10,10,false,KNITRO_ALG:1,1141.9585149707318
SCR-NCP,empty,210.44242376614287,500.10112359288775,206.34420575163702,14219.237337311708,35.192179583793774,1,1,false,KNITRO_ALG:1,916.8877531106676
SCR-NCP,empty,265.35991672769285,693.4303829492319,253.03274795381827,14058.41616291461,41.24940077532008,10,10,true,KNITRO_ALG:1,1211.823047630743
